* Measurement data measured by REW V5.20.7
* Source: /Users/griff/Desktop/0 - REW Curves/Targets/Harman2015OE.txt
* Format: Comma/Tab/Space delimited data
* Dated: May 1, 2022 3:08:30 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from /Users/griff/Desktop/0 - REW Curves/Targets/Harman2015OE.txt Format: Comma/Tab/Space delimited data 958 values loaded, 20 Hz to 20,040 Hz log spaced
* Measurement: Harman2015OE
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
4368.022949 98.091 -82.2085
4399.675293 98.022 -83.0175
4431.557129 97.952 -83.8216
4463.669922 97.882 -84.6209
4496.015625 97.813 -85.4160
4528.595703 97.743 -86.2067
4561.411621 97.675 -86.9935
4594.465332 97.606 -87.7767
4627.758789 97.538 -88.5565
4661.293457 97.470 -89.3331
4695.071289 97.403 -90.1070
4729.093750 97.337 -90.8782
4763.362793 97.270 -91.6467
4797.879883 97.204 -92.4134
4832.647461 97.140 -93.1784
4867.666992 97.075 -93.9419
4902.939941 97.011 -94.7041
4938.468750 96.947 -95.4653
4974.254883 96.884 -96.2259
5010.300293 96.823 -96.9861
5046.606934 96.761 -97.7461
5083.176758 96.700 -98.5064
5120.011719 96.640 -99.2671
5157.113281 96.581 -100.0288
5194.483887 96.522 -100.7914
5232.125488 96.464 -101.5554
5270.039551 96.406 -102.3211
5308.228516 96.349 -103.0888
5346.694336 96.294 -103.8586
5385.438477 96.238 -104.6314
5424.463379 96.183 -105.4069
5463.771484 96.130 -106.1852
5503.364258 96.076 -106.9673
5543.244141 96.024 -107.7531
5583.412598 95.972 -108.5427
5623.872070 95.921 -109.3365
5664.625000 95.870 -110.1347
5705.673340 95.819 -110.9373
5747.019043 95.770 -111.7448
5788.664551 95.722 -112.5572
5830.611816 95.673 -113.3746
5872.862793 95.625 -114.1972
5915.419922 95.578 -115.0250
5958.285645 95.532 -115.8579
6001.461914 95.485 -116.6964
6044.951172 95.439 -117.5403
6088.755371 95.394 -118.3895
6132.876953 95.347 -119.2441
6177.318359 95.301 -120.1039
6222.081543 95.255 -120.9691
6267.169434 95.209 -121.8396
6312.583984 95.162 -122.7152
6358.327637 95.112 -123.5958
6404.402832 95.061 -124.4812
6450.812012 95.008 -125.3715
6497.557129 94.952 -126.2662
6544.641113 94.894 -127.1656
6592.066406 94.831 -128.0694
6639.835449 94.766 -128.9772
6687.950195 94.698 -129.8891
6736.414062 94.626 -130.8049
6785.229004 94.550 -131.7242
6834.397461 94.473 -132.6472
6883.922363 94.394 -133.5733
6933.806152 94.311 -134.5028
6984.051270 94.229 -135.4354
7034.660645 94.144 -136.3708
7085.636719 94.058 -137.3091
7136.981934 93.973 -138.2500
7188.699219 93.886 -139.1936
7240.791504 93.799 -140.1396
7293.261230 93.712 -141.0882
7346.111328 93.624 -142.0390
7399.344238 93.537 -142.9921
7452.962891 93.449 -143.9476
7506.970215 93.361 -144.9053
7561.368652 93.272 -145.8653
7616.161621 93.184 -146.8276
7671.351562 93.095 -147.7922
7726.941406 93.006 -148.7590
7782.934082 92.916 -149.7278
7839.332520 92.826 -150.6991
7896.139648 92.736 -151.6730
7953.358398 92.646 -152.6491
8010.991699 92.555 -153.6275
8069.042480 92.463 -154.6084
8127.514160 92.370 -155.5919
8186.409668 92.277 -156.5777
8245.731445 92.184 -157.5660
8305.483398 92.089 -158.5569
8365.667969 91.994 -159.5500
8426.289062 91.899 -160.5457
8487.349609 91.803 -161.5440
8548.852539 91.706 -162.5446
8610.800781 91.608 -163.5478
8673.198242 91.509 -164.5533
8736.047852 91.410 -165.5612
8799.352539 91.311 -166.5716
8863.116211 91.210 -167.5842
8927.341797 91.108 -168.5988
8992.033203 91.005 -169.6160
9057.193359 90.900 -170.6353
9122.825195 90.796 -171.6568
