* Measurement data measured by REW V5.20.5
* Source: /Users/griff/Desktop/REW Curves/Harman2013OE.txt
* Format: Comma/Tab/Space delimited data
* Dated: May 1, 2022 1:57:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from /Users/griff/Desktop/REW Curves/Harman2013OE.txt Format: Comma/Tab/Space delimited data 958 values loaded, 20 Hz to 20,040 Hz log spaced
* Measurement: Harman2013OE
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
824.007629 90.045 6.3114
829.978699 90.058 6.3109
835.993042 90.071 6.3102
842.050964 90.083 6.3094
848.152832 90.095 6.3088
854.298889 90.106 6.3084
860.489502 90.117 6.3086
866.724976 90.128 6.3094
873.005615 90.138 6.3110
879.331787 90.147 6.3137
885.703796 90.157 6.3174
892.121948 90.166 6.3226
898.586609 90.174 6.3292
905.098145 90.183 6.3374
911.656860 90.191 6.3475
918.263123 90.199 6.3594
924.917236 90.207 6.3734
931.619568 90.215 6.3895
938.370483 90.222 6.4078
945.170288 90.230 6.4285
952.019409 90.238 6.4517
958.918152 90.246 6.4774
965.866882 90.253 6.5057
972.865967 90.262 6.5366
979.915771 90.270 6.5702
987.016663 90.278 6.6065
994.169006 90.287 6.6456
1001.373169 90.296 6.6874
1008.629517 90.306 6.7319
1015.938477 90.316 6.7792
1023.300415 90.326 6.8292
1030.715698 90.337 6.8818
1038.184692 90.348 6.9370
1045.707764 90.360 6.9949
1053.285400 90.373 7.0552
1060.917969 90.386 7.1178
1068.605835 90.400 7.1828
1076.349365 90.415 7.2498
1084.149048 90.431 7.3189
1092.005249 90.447 7.3898
1099.918335 90.465 7.4624
1107.888794 90.483 7.5364
1115.916992 90.503 7.6117
1124.003418 90.523 7.6881
1132.148438 90.544 7.7653
1140.352417 90.567 7.8431
1148.615845 90.591 7.9214
1156.939209 90.616 7.9997
1165.322876 90.642 8.0780
1173.767334 90.670 8.1559
1182.272949 90.699 8.2332
1190.840210 90.729 8.3097
1199.469482 90.761 8.3850
1208.161377 90.794 8.4590
1216.916260 90.828 8.5314
1225.734497 90.864 8.6020
1234.616699 90.901 8.6706
1243.563232 90.940 8.7368
1252.574585 90.980 8.8005
1261.651245 91.021 8.8615
1270.793701 91.064 8.9196
1280.002441 91.108 8.9746
1289.277832 91.153 9.0263
1298.620483 91.200 9.0744
1308.030762 91.248 9.1189
1317.509277 91.297 9.1595
1327.056519 91.347 9.1961
1336.672974 91.398 9.2286
1346.359009 91.450 9.2568
1356.115234 91.504 9.2805
1365.942261 91.558 9.2998
1375.840454 91.613 9.3145
1385.810303 91.669 9.3243
1395.852417 91.725 9.3294
1405.967285 91.783 9.3294
1416.155518 91.841 9.3245
1426.417603 91.900 9.3145
1436.754028 91.959 9.2994
1447.165283 92.020 9.2791
1457.652100 92.081 9.2534
1468.214844 92.142 9.2224
1478.854126 92.204 9.1861
1489.570557 92.266 9.1443
1500.364624 92.329 9.0972
1511.236938 92.393 9.0445
1522.187988 92.457 8.9863
1533.218384 92.521 8.9224
1544.328735 92.586 8.8530
1555.519531 92.651 8.7779
1566.791504 92.717 8.6972
1578.145142 92.783 8.6106
1589.581055 92.849 8.5182
1601.099854 92.916 8.4200
1612.702026 92.982 8.3157
1624.388306 93.050 8.2056
1636.159302 93.117 8.0891
1648.015625 93.185 7.9664
1659.957886 93.252 7.8373
1671.986572 93.320 7.7017
1684.102417 93.389 7.5595
1696.306152 93.457 7.4103
1708.598267 93.526 7.2540
1720.979492 93.595 7.0904
1733.450439 93.664 6.9194
1746.011719 93.734 6.7406
1758.664062 93.804 6.5537
1771.408081 93.875 6.3584
1784.244385 93.946 6.1547
1797.173706 94.018 5.9419
1810.196777 94.090 5.7199
1823.314209 94.164 5.4883
1836.526733 94.239 5.2468
1849.834961 94.315 4.9948
1863.239624 94.392 4.7322
1876.741455 94.472 4.4583
1890.341064 94.553 4.1729
1904.039307 94.637 3.8756
