* Measurement data measured by REW V5.20.13
* Source: Microphone (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 4, 2023 4:07:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: AudioSense DT200 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
5220.000000	96.613	-22.5081
5300.000000	96.304	-20.0961
5380.000000	96.139	-17.4351
5450.000000	96.142	-15.2911
5520.000000	96.274	-13.7830
5600.000000	96.502	-13.3469
5700.000000	96.694	-14.9226
5800.000000	96.589	-17.8116
5900.000000	96.153	-20.2747
6000.000000	95.514	-21.2583
6080.000000	94.968	-20.9039
6150.000000	94.515	-19.9153
6220.000000	94.105	-18.4489
6300.000000	93.696	-16.3471
6400.000000	93.284	-13.2995
6500.000000	92.983	-9.9977
6600.000000	92.779	-6.5588
6700.000000	92.662	-3.0154
6800.000000	92.640	0.7344
6900.000000	92.757	4.5854
7000.000000	93.008	8.0773
7100.000000	93.353	11.1722
7200.000000	93.805	13.9428
7300.000000	94.390	16.3049
7400.000000	95.106	18.1108
7500.000000	95.930	19.1499
7620.000000	97.020	18.9967
7750.000000	98.226	16.4653
7880.000000	99.279	10.7277
8000.000000	99.919	2.4111
8120.000000	100.081	-7.8739
8250.000000	99.650	-18.9911
8380.000000	98.718	-27.8048
8500.000000	97.631	-33.0747
8620.000000	96.513	-35.8239
8750.000000	95.409	-36.6527
8850.000000	94.670	-36.2262
9000.000000	93.717	-34.4475
9120.000000	93.069	-32.3618
9250.000000	92.484	-29.6772
9380.000000	92.004	-26.7151
9500.000000	91.620	-23.8517
9620.000000	91.286	-20.9691
9750.000000	90.988	-17.9119
9880.000000	90.744	-14.9775
10000.000000	90.545	-12.4165
10150.000000	90.292	-9.4196
10300.000000	89.988	-6.5669
10440.000000	89.648	-3.8773
10600.000000	89.209	-0.4309
10750.000000	88.760	3.5100
10900.000000	88.315	8.3389
11060.000000	87.947	14.3993
11200.000000	87.790	20.1838
11380.000000	87.842	27.7649
11500.000000	88.053	32.6518
11720.000000	88.859	40.0413
11800.000000	89.251	41.7916
12060.000000	90.535	43.1593
12200.000000	91.083	41.4800
12410.000000	91.575	37.2399
12500.000000	91.654	35.3090
12650.000000	91.640	32.5585
12800.000000	91.520	30.7766
13150.000000	91.285	30.5909
13200.000000	91.276	30.9149
13400.000000	91.324	32.7073
13600.000000	91.551	34.8005
13800.000000	92.058	36.3867
14000.000000	92.881	36.4720
14300.000000	94.347	31.8753
14500.000000	95.034	25.5403
14750.000000	95.159	16.7164
15000.000000	94.523	11.2245
15250.000000	93.526	11.1278
15500.000000	92.558	15.4143
15750.000000	91.868	21.8400
16000.000000	91.675	27.7313
16250.000000	92.073	30.4952
16500.000000	92.801	28.9602
16750.000000	93.427	24.0737
17000.000000	93.778	17.5811
17250.000000	93.972	10.6076
17500.000000	94.172	3.0082
17750.000000	94.299	-6.0697
18000.000000	94.148	-15.8437
18250.000000	93.723	-24.3971
18500.000000	93.183	-31.2343
18750.000000	92.577	-36.8547
19000.000000	91.801	-41.0830
19250.000000	90.775	-43.1600
19500.000000	89.522	-42.8141
19750.000000	88.145	-40.8816
